Total,% Total range 80,% Total range 70,Population,location,% Total range 60,date,state,Negative,Negative range 60,Negative range 70,state_negative_range_80,Suspected,Suspected range 60,state_suspected_range_70,state_suspected_range_80,Infected,Infected range 60,Infected range 70,state_infected_range_80,Recovered,Recovered range 60,Recovered range 70,state_recovered_range_80,% Total infected by population,% Total supected by population,% Total recovered by population,% Total negative by population,% Total infected range 60,% Total supected rage 60,% Total recovered rage 60,% Total negative range 60,% Total infected range 70,% Total supected rage 70,% Total recovered rage 70,% Total negative range 70,% Total infected range 80,% Total supected rage 80,% Total recovered rage 80,% Total negative range 80,Susceptible death 60/69 age,Susceptible death 70/79 age,Susceptible death 80 or more age
67,14.93,34.33,"    28001-Acebeda, La","La Acebeda, Madrid",53.73,2020-03-31,1,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00
67,14.93,34.33,"    28001-Acebeda, La","La Acebeda, Madrid",53.73,2020-04-01,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00,0.00,0.20
67,14.93,34.33,"    28001-Acebeda, La","La Acebeda, Madrid",53.73,2020-04-02,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00
67,14.93,34.33,"    28001-Acebeda, La","La Acebeda, Madrid",53.73,2020-04-03,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00
67,14.93,34.33,"    28001-Acebeda, La","La Acebeda, Madrid",53.73,2020-04-04,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00
67,14.93,34.33,"    28001-Acebeda, La","La Acebeda, Madrid",53.73,2020-04-05,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00
4339,2.49,6.41,    28002-Ajalvir,"Ajalvir, Madrid",12.70,2020-03-31,62,62.00,6.00,12.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.39,0.00,0.00,0.00
4339,2.49,6.41,    28002-Ajalvir,"Ajalvir, Madrid",12.70,2020-04-01,62,22.00,1.00,6.00,5.00,21.00,1.00,4.00,8.00,19.00,4.00,2.00,4.00,0.00,0.00,0.00,0.00,0.44,0.48,0.00,0.51,0.09,0.02,0.00,0.02,0.05,0.09,0.00,0.14,0.09,0.18,0.00,0.12,0.09,0.18,0.78
4339,2.49,6.41,    28002-Ajalvir,"Ajalvir, Madrid",12.70,2020-04-02,62,9.00,1.00,3.00,3.00,12.00,1.00,3.00,4.00,29.00,1.00,6.00,8.00,12.00,3.00,0.00,2.00,0.67,0.28,0.28,0.21,0.02,0.02,0.07,0.02,0.14,0.07,0.00,0.07,0.18,0.09,0.05,0.07,0.02,0.53,1.56
4339,2.49,6.41,    28002-Ajalvir,"Ajalvir, Madrid",12.70,2020-04-03,62,3.00,1.00,2.00,0.00,9.00,1.00,1.00,3.00,28.00,1.00,8.00,8.00,22.00,3.00,1.00,6.00,0.65,0.21,0.51,0.07,0.02,0.02,0.07,0.02,0.18,0.02,0.02,0.05,0.18,0.07,0.14,0.00,0.02,0.71,1.56
