Poblacion,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100 y más
"    28001-Acebeda, La",67,2,1,0,1,2,1,1,1,5,7,3,7,8,5,6,7,5,3,1,1,0
    28002-Ajalvir,4339,255,321,229,167,177,281,394,547,538,395,293,190,143,130,90,80,56,35,16,1,1
    28003-Alameda del Valle,224,5,8,10,8,2,5,7,20,26,27,19,17,11,12,15,12,10,8,1,1,0
"    28004-Álamo, El",8929,545,616,533,402,434,511,692,787,851,714,565,454,357,357,266,231,227,234,114,34,5
    28005-Alcalá de Henares,200768,9678,11410,9800,8773,11195,13707,16287,19330,18434,16018,13502,12776,10957,9782,6885,5228,3663,2167,906,225,45
    28006-Alcobendas,112188,6159,6671,6046,5716,6067,7225,9034,10748,10150,9077,7519,6114,6113,6106,3742,2381,1721,1005,451,122,21
    28007-Alcorcón,170336,8766,9449,8316,6650,6971,9236,13244,17376,16489,13009,9738,8091,10055,12159,8718,5519,3491,1896,898,234,31
    28008-Aldea del Fresno,2528,137,162,112,111,124,170,196,236,197,211,162,169,123,120,93,77,65,34,24,4,1
    28009-Algete,20102,1087,1384,1427,1242,1180,1170,1346,1781,1818,1881,1678,1261,864,663,455,354,281,144,73,12,1
    28010-Alpedrete,14005,860,1108,912,765,667,610,813,1399,1633,1458,1024,686,500,507,396,277,207,115,52,14,2
    28011-Ambite,607,30,20,14,17,28,24,49,56,63,68,54,28,20,24,28,38,27,13,6,0,0
    28012-Anchuelo,1211,95,69,48,43,63,93,121,149,107,70,85,69,50,41,38,18,26,22,4,0,0
    28013-Aranjuez,57792,3602,3638,3094,2835,2902,3599,4588,5616,5012,4635,3857,3232,2631,2426,1833,1625,1356,868,357,74,12
    28014-Arganda del Rey,55307,3743,3542,2709,2433,3085,4284,5591,6409,5125,4207,3512,2994,2299,1800,1210,838,768,506,195,49,8
    28015-Arroyomolinos,25374,2741,2171,1530,1134,952,1488,3163,4025,2702,1810,1213,855,627,414,243,126,91,55,26,6,2
